"Seq Number","Trial Number","Response Time",Item,Category,Error,Block
1,1,0.38800001144409,Algorithm,"Computer Science",1,1
2,1,0.019000053405762,Algorithm,"Computer Science",0,1
3,2,0.65000009536743,Plants,Biology,0,1
4,3,0.44199991226196,Protein,Biology,1,1
5,3,0.42700004577637,Protein,Biology,0,1
6,4,0.34800004959106,William,Male,1,2
7,4,0.11100006103516,William,Male,0,2
8,5,0.11899995803833,Robert,Male,1,2
9,5,0.085999965667725,Robert,Male,0,2
10,6,0.48699998855591,David,Male,0,2
11,7,0.76200008392334,William,Male,0,3
12,8,0.72199988365173,Computer,"Computer Science",0,3
13,9,0.66799998283386,Joseph,Male,0,3
14,10,0.56399989128113,Elizabeth,Female,0,4
15,11,0.6010000705719,Life,Biology,0,4
16,12,0.69199991226196,Barbara,Female,0,4
17,13,0.31200003623962,Protein,Biology,1,5
18,13,0.023000001907349,Protein,Biology,0,5
19,14,0.18400001525879,Habitat,Biology,1,5
20,14,0.019999980926514,Habitat,Biology,0,5
21,15,0.15899991989136,Internet,"Computer Science",0,5
22,16,0.92300009727478,Margaret,Female,0,6
23,17,0.8840000629425,Plants,Biology,0,6
24,18,0.89999985694885,William,Male,0,6
25,19,0.72299981117249,David,Male,0,7
26,20,0.86700010299683,Programming,"Computer Science",0,7
27,21,0.86800003051758,Mary,Female,1,7
28,21,0.52799987792969,Mary,Female,0,7
