"Seq Number","Trial Number","Response Time",Item,Category,Error,Block
1,1,6.6470000743866,Internet,"Computer Science",0,1
2,2,0.93400001525879,Nature,Biology,0,1
3,3,6.3229999542236,Database,"Computer Science",1,1
4,3,0.79800009727478,Database,"Computer Science",0,1
5,4,4407.5379998684,Algorithm,"Computer Science",0,1
6,5,0.48699998855591,Computer,"Computer Science",1,1
7,5,0.41600012779236,Computer,"Computer Science",0,1
8,6,0.32099986076355,Plants,Biology,0,1
9,7,0.41499996185303,Species,Biology,1,1
10,7,0.26400017738342,Species,Biology,0,1
11,8,0.37599992752075,Protein,Biology,1,1
12,8,0.35199999809265,Protein,Biology,0,1
13,9,0.35199999809265,Apps,"Computer Science",0,1
14,10,0.072000026702881,Photosynthesis,Biology,0,1
15,11,0.3769998550415,Programming,"Computer Science",0,1
16,12,0.007000207901001,Life,Biology,0,1
17,13,0.19199991226196,Organs,Biology,0,1
18,14,0.032000064849854,Software,"Computer Science",0,1
19,15,0.23300004005432,Technology,"Computer Science",0,1
20,16,0.1509997844696,Habitat,Biology,0,1
21,17,0.04800009727478,Protein,Biology,1,1
22,17,0.16000008583069,Protein,Biology,1,1
23,17,0.12800002098083,Protein,Biology,0,1
24,18,0.071999788284302,Organs,Biology,1,1
25,18,0.24000000953674,Organs,Biology,1,1
26,18,0.16800022125244,Organs,Biology,1,1
27,18,0.15199995040894,Organs,Biology,1,1
28,18,0.18400001525879,Organs,Biology,1,1
29,18,0.19999980926514,Organs,Biology,1,1
30,18,1.0160000324249,Organs,Biology,0,1
31,19,0.24000000953674,Plants,Biology,0,1
32,20,0.34400010108948,Algorithm,"Computer Science",0,1
33,21,0.60099983215332,James,Male,1,2
34,21,0.29500007629395,James,Male,0,2
35,22,0.2960000038147,Patricia,Female,1,2
36,22,0.072000026702881,Patricia,Female,1,2
37,22,0.37599992752075,Patricia,Female,1,2
38,22,0.18400001525879,Patricia,Female,1,2
39,22,0.15199995040894,Patricia,Female,1,2
